country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
USA,Curtis Hill Solar CSG,USA0060851,2.0,42.175,-71.986,Solar,2016.0,,0.1876,False
PRK,Hamhung,WRI1019822,500.0,39.8531,127.5789,Coal,,,0.0265,False
CHN,Yunnan Jiduhe Cascade Iv,WRI1071894,12.0,17.7719,-36.6108,Hydro,,OCEAN_COORDS,0.1243,False
FRA,Aizenay,WRI1025506,,-27.7004,81.9246,Solar,,OCEAN_COORDS|MISSING_CAPACITY,0.0397,False
USA,FirstEnergy Pleasants Power Station,USA0006004,1368.0,39.3667,-81.2944,Coal,1980.0,,-0.0382,True
JPN,Aoi Solar Power Plant,WRI1026465,2.0,35.0312,138.3627,Solar,,,0.0781,False
USA,Geneva Generation Facility,USA0056462,29.5,41.8911,-88.2711,Gas,2005.0,,0.1724,False
ARG,LA PLATA COGENERACION,ARG0000164,128.0,-34.889,-57.9206,Gas,1997.0,,-0.0159,True
IND,Kotra,WKS0064612,20.0,28.022,73.069,Solar,,,0.1362,False
CHN,Guohua Shangyi Kangleng Phase 1,WRI1072172,49.0,41.1697,114.2822,Wind,,,0.1339,False
THA,Korat 7 Solar Power Plant,WRI1026270,6.1,15.1082,101.8871,Solar,,,0.1054,False
CHN,Huadian Shiliquan power station,WRI1070566,,34.8144,117.5731,Coal,2003.0,MISSING_CAPACITY,0.1384,False
CHN,Dongliuxi Erji,WRI1071070,12.0,30.53,110.75,Hydro,,,0.1282,False
FRA,Allibaudières,WRI1023962,35.0,48.6071,4.1483,Wind,,,0.1798,False
DEU,Waldpolenz,WKS0060014,42.9,51.3298,12.6595,Solar,,,0.1639,False
ESP,P.E. EL MORAL,WRI1007021,40.0,38.8299,-3.5781,Wind,2006.0,,0.1657,False
USA,Tripple State Farm,USA0061086,5.0,35.735,-80.7749,Solar,2016.0,,0.1812,False
CHN,Yunnan Diqing State Deqin County Shibahe First Level,WRI1072407,16.0,27.774,99.2624,Hydro,,,0.1303,False
AUS,Broken Hill,AUS0000305,50.0,-31.9863,141.4203,Gas,,,-0.0451,True
JPN,Nanyo Complex power station,WRI1020080,,34.0543,131.7578,Coal,1996.0,MISSING_CAPACITY,0.1083,False
USA,New Mexico Wind Energy Center,USA0056097,204.0,34.6357,-104.0473,Wind,2003.0,,0.0887,False
USA,Langdon Wind II LLC,USA0056912,40.5,48.6292,-98.3164,Wind,2008.0,,0.1356,False
HND,Canaveral,WRI1029356,29.0,14.9816,-88.0232,Hydro,,,0.1017,False
USA,Lee Combined Cycle Plant,USA0058215,1068.0,35.3736,-78.0894,Gas,2013.0,,-0.0093,True
CHN,Yinxing power station,WRI1075777,1320.0,37.7274,106.7409,Coal,2017.0,,-0.0179,True
POL,EC Janikosoda,WRI1061505,56.0,52.7664,18.1098,Coal,,,0.1434,False
USA,Pheasant Run Landfill Gas Recovery,USA0054661,8.799999999999999,42.5825,-88.0436,Waste,1998.9090909090912,,0.18,False
GMB,Banjul,WRI1023192,29.0,13.4689,-16.6241,Oil,,,0.1087,False
USA,Pastoria Energy Facility  LLC,USA0055656,779.0,34.9556,-118.844,Gas,2005.0,,-0.0096,True
FRA,Bonvillers,WRI1024396,11.5,49.5854,2.3517,Wind,,,0.1912,False
MMR,Thaphanseik,WRI1061370,,23.31,95.358,Hydro,2002.0,MISSING_CAPACITY,0.1291,False
BRA,Vertente,BRA0029270,53.0,-20.4015,-48.9911,Biomass,2005.0,,0.0744,False
AUS,Nyngan Solar Plant,AUS0000476,102.0,-31.5527,147.0854,Solar,,,-0.0711,True
NOR,Herva,WRI1003209,45.0,61.5662,7.8624,Hydro,,,0.0914,False
USA,Middle Gorge,USA0000401,37.5,37.51,-118.5692,Hydro,1952.0,,0.134,False
ARG,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG0000031,620.0,-38.7872,-62.2536,Coal,1990.0,,-0.0918,True
USA,Haywood Farm Solar  LLC,USA0061255,4.9,35.343,-79.915,Solar,2017.0,,0.1801,False
